,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
36,13.4,25.5,5.9,63,18.0,,,,,,,,,,,,,,,15.0,21.06,"Ivica Zubac, LAC",20.3,34,9.9,.642,16.2,177.5
37,18.8,23.8,8.0,58,27.0,,,,,,,,,,,,,,,14.4,20.87,"Steven Adams, OKC",19.3,35,11.5,.605,17.1,239.6
38,32.1,18.0,9.5,54,35.8,,,,,,,,,,,,,,,6.2,20.86,"Ben Simmons, PHI",12.1,36,14.0,.608,22.7,284.2
39,8.8,30.4,6.5,39,32.8,,,,,,,,,,,,,,,13.7,20.74,"Clint Capela, HOU",22.0,37,11.6,.626,15.5,193.6
40,21.2,29.8,9.7,61,34.7,,,,,,,,,,,,,,,9.7,20.72,"Domantas Sabonis, IND",19.9,38,11.7,.586,23.5,291.5
41,19.3,11.4,7.5,49,31.9,,,,,,,,,,,,,,,2.3,20.64,"Kemba Walker, BOS",6.9,39,8.3,.572,28.5,224.6
42,23.8,25.1,9.9,64,34.4,,,,,,,,,,,,,,,8.6,20.55,"Bam Adebayo, MIA",17.3,40,13.4,.605,21.2,297.1
43,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
44,8.6,21.3,5.6,39,28.9,,,,,,,,,,,,,,,11.5,20.53,"Richaun Holmes, SAC",16.3,41,10.8,.685,15.5,166.9
45,9.1,27.0,4.9,30,33.2,,,,,,,,,,,,,,,13.5,20.52,"Deandre Ayton, PHX",20.1,42,11.3,.571,23.4,147.5
46,15.5,18.3,6.0,41,29.2,,,,,,,,,,,,,,,1.9,20.49,"Paul George, LAC",10.3,43,11.2,.583,29.8,178.7
47,23.9,12.3,6.7,45,31.7,,,,,,,,,,,,,,,2.3,20.42,"De'Aaron Fox, SAC",7.2,44,11.1,.556,30.5,200.5
48,12.7,25.1,7.9,63,25.8,,,,,,,,,,,,,,,12.4,20.42,"Jarrett Allen, BKN",18.9,,10.7,.660,14.9,238.5
49,11.4,18.9,8.7,58,34.6,,,,,,,,,,,,,,,3.0,20.21,"Jayson Tatum, BOS",11.0,46,8.7,.561,28.1,260.9
50,8.7,25.5,4.8,60,16.8,,,,,,,,,,,,,,,12.2,20.18,"JaVale McGee, LAL",19.0,47,12.0,.659,14.6,143.9
51,20.4,34.2,5.7,55,21.9,,,,,,,,,,,,,,,12.0,20.13,"DeAndre Jordan, BKN",23.4,48,14.5,.687,14.5,171.6
