,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
184,137,Kris Dunn,PG,25,CHI,51,1269,12.1,.510,.327,.158,1.9,14.9,8.1,19.5,3.8,1.3,15.7,14.6,,0.3,2.0,2.2,.084,,-3.7,3.2,-0.6,0.4
185,138,Carsen Edwards,SG,21,BOS,35,316,6.5,.446,.602,.115,2.1,12.4,7.3,9.5,1.5,0.9,11.2,18.1,,-0.3,0.4,0.1,.013,,-4.6,-0.4,-5.0,-0.2
186,139,Henry Ellenson,PF,23,BRK,5,15,-1.2,.143,.571,.000,14.1,26.7,20.6,8.8,0.0,0.0,0.0,19.5,,-0.1,0.0,-0.1,-0.180,,-7.7,-3.0,-10.8,0.0
187,140,Wayne Ellington,SG,32,NYK,34,533,8.7,.518,.812,.079,0.8,11.3,5.9,10.5,1.1,0.7,9.1,14.9,,0.2,0.2,0.4,.039,,-1.8,-0.8,-2.7,-0.1
188,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
189,141,Joel Embiid,C,25,PHI,43,1302,25.7,.591,.231,.541,9.9,33.0,21.4,17.2,1.4,3.8,13.4,32.5,,3.0,2.4,5.4,.199,,3.9,1.3,5.2,2.3
190,142,James Ennis,SF,29,TOT,60,1030,11.5,.555,.472,.262,6.3,14.7,10.5,7.1,1.3,1.7,11.5,15.3,,0.9,1.2,2.0,.095,,-2.2,-0.3,-2.5,-0.1
191,142,James Ennis,SF,29,PHI,49,776,12.3,.564,.469,.270,6.8,14.5,10.7,7.4,1.4,1.5,10.9,15.8,,0.8,0.9,1.8,.109,,-1.6,0.1,-1.6,0.1
192,142,James Ennis,SF,29,ORL,11,254,9.2,.524,.484,.234,4.9,15.3,9.9,6.1,1.0,2.1,13.5,13.9,,0.0,0.2,0.3,.052,,-3.9,-1.5,-5.4,-0.2
193,143,Drew Eubanks,PF,22,SAS,13,123,15.3,.776,.036,.393,7.0,22.8,14.9,3.5,0.4,3.6,21.5,14.8,,0.2,0.1,0.3,.121,,-2.6,-1.9,-4.5,-0.1
194,144,Jacob Evans,SG,22,TOT,29,418,5.5,.436,.291,.216,2.2,8.6,5.3,10.8,1.3,2.6,14.6,17.5,,-0.7,0.2,-0.5,-0.054,,-5.8,-1.4,-7.2,-0.5
195,144,Jacob Evans,SG,22,GSW,27,414,5.7,.439,.286,.218,2.3,8.7,5.4,10.9,1.3,2.6,14.6,17.6,,-0.6,0.2,-0.5,-0.052,,-5.8,-1.4,-7.1,-0.5
196,144,Jacob Evans,SG,22,MIN,2,4,-9.6,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,,0.0,0.0,0.0,-0.265,,-10.6,-5.6,-16.2,0.0
197,145,Dante Exum,SG,24,TOT,35,485,10.4,.576,.361,.361,2.8,12.6,7.6,11.5,1.3,1.4,18.4,15.0,,0.2,0.2,0.4,.043,,-2.5,-0.5,-3.0,-0.1
198,145,Dante Exum,SG,24,UTA,11,83,4.8,.503,.261,.087,4.2,11.4,7.9,11.8,0.6,2.0,29.5,17.9,,-0.2,0.1,-0.1,-0.054,,-5.1,-0.5,-5.6,-0.1
