,matchup,home,result,winner high,loser high,DATE
10,Houston HOU,New Jersey NJ,"NJ 99, HOU 90",Keith Van Horn 22 Pts,Moochie Norris 23 Pts,20020119
11,Orlando ORL,Memphis MEM,"ORL 119, MEM 103",Tracy McGrady 25 Pts,Pau Gasol 26 Pts,20020119
12,Indiana IND,Miami MIA,"MIA 100, IND 88",Eddie Jones 23 Pts,Jalen Rose 21 Pts,20020119
0,Utah UTAH,Golden State GS,"UTAH 101, GS 99",Karl Malone 37 Pts,Antawn Jamison 25 Pts,20020121
1,Charlotte CHA,New York NY,"CHA 111, NY 68",Baron Davis 24 Pts,Kurt Thomas 16 Pts,20020121
2,Houston HOU,Atlanta ATL,"ATL 95, HOU 91",Jason Terry 19 Pts,Cuttino Mobley 26 Pts,20020121
3,New Jersey NJ,Dallas DAL,"DAL 113, NJ 105",Dirk Nowitzki 39 Pts,Lucious Harris 23 Pts,20020121
4,Seattle SEA,Philadelphia PHI,"SEA 109, PHI 98",Gary Payton 28 Pts,Allen Iverson 38 Pts,20020121
5,Indiana IND,Chicago CHI,"IND 93, CHI 81",Reggie Miller 20 Pts,Ron Mercer 18 Pts,20020121
6,Milwaukee MIL,Detroit DET,"MIL 97, DET 79",Michael Redd 21 Pts,Jerry Stackhouse 19 Pts,20020121
7,Washington WSH,Minnesota MIN,"MIN 105, WSH 101",Kevin Garnett 23 Pts,Michael Jordan 29 Pts,20020121
8,Miami MIA,Cleveland CLE,"MIA 95, CLE 93",Eddie Jones 27 Pts,Wesley Person 19 Pts,20020121
9,Memphis MEM,Sacramento SAC,"SAC 112, MEM 98",Chris Webber 24 Pts,Tony Massenburg 23 Pts,20020121
10,Toronto TOR,Boston BOS,"BOS 106, TOR 97",Paul Pierce 30 Pts,Vince Carter 26 Pts,20020121
11,Denver DEN,LA LAC,"LAC 102, DEN 89",Elton Brand 31 Pts,Nick Van Exel 19 Pts,20020121
0,Phoenix PHX,Milwaukee MIL,"PHX 92, MIL 81",Shawn Marion 24 Pts,Sam Cassell 24 Pts,20020122
1,Dallas DAL,Houston HOU,"DAL 113, HOU 107",Steve Nash 31 Pts,Cuttino Mobley 35 Pts,20020122
2,Denver DEN,Los Angeles LAL,"DEN 107, LAL 91",Voshon Lenard 29 Pts,Shaquille O'Neal 40 Pts,20020122
3,Chicago CHI,Miami MIA,"MIA 92, CHI 79",Rod Strickland 20 Pts,Metta World Peace 24 Pts,20020122
4,Atlanta ATL,Orlando ORL,"ORL 100, ATL 86",Pat Garrity 23 Pts,Jacque Vaughn 14 Pts,20020122
5,Sacramento SAC,Portland POR,"POR 116, SAC 110",Bonzi Wells 34 Pts,Chris Webber 34 Pts,20020122
6,New Jersey NJ,San Antonio SA,"NJ 92, SA 86",Jason Kidd 28 Pts,Tim Duncan 32 Pts,20020122
7,Philadelphia PHI,Washington WSH,"PHI 91, WSH 84",Allen Iverson 34 Pts,Michael Jordan 30 Pts,20020122
0,Indiana IND,Boston BOS,"BOS 98, IND 94",Erick Strickland 22 Pts,Reggie Miller 26 Pts,20020123
1,Seattle SEA,Charlotte CHA,"CHA 111, SEA 101",David Wesley 21 Pts,Gary Payton 24 Pts,20020123
2,San Antonio SA,Utah UTAH,"SA 98, UTAH 92",Steve Smith 29 Pts,Karl Malone 23 Pts,20020123
3,Minnesota MIN,Detroit DET,"DET 104, MIN 83",Jerry Stackhouse 40 Pts,Kevin Garnett 19 Pts,20020123
4,Memphis MEM,Golden State GS,"GS 107, MEM 95",Antawn Jamison 30 Pts,Pau Gasol 27 Pts,20020123
5,Los Angeles LAL,LA LAC,"LAC 95, LAL 90",Corey Maggette 28 Pts,Kobe Bryant 27 Pts,20020123
6,New York NY,Toronto TOR,"NY 96, TOR 92",Latrell Sprewell 35 Pts,Alvin Williams 23 Pts,20020123
0,Utah UTAH,Sacramento SAC,"SAC 113, UTAH 80",Chris Webber 24 Pts,Karl Malone 14 Pts,20020124
1,Dallas DAL,Denver DEN,"DAL 104, DEN 97",Dirk Nowitzki 26 Pts,Raef LaFrentz 24 Pts,20020124
2,Seattle SEA,Milwaukee MIL,"SEA 99, MIL 88",Brent Barry 29 Pts,Sam Cassell 29 Pts,20020124
3,Memphis MEM,Portland POR,"POR 120, MEM 82",Rasheed Wallace 20 Pts,Brevin Knight 22 Pts,20020124
4,Cleveland CLE,Washington WSH,"WSH 94, CLE 85",Michael Jordan 40 Pts,Wesley Person 19 Pts,20020124
5,New Jersey NJ,Houston HOU,"NJ 103, HOU 98",Kenyon Martin 28 Pts,Cuttino Mobley 41 Pts,20020124
6,Phoenix PHX,New York NY,"NY 96, PHX 91",Allan Houston 29 Pts,Anfernee Hardaway 28 Pts,20020124
7,Miami MIA,Orlando ORL,"ORL 92, MIA 87",Darrell Armstrong 18 Pts,Eddie Jones 28 Pts,20020124
0,Charlotte CHA,Indiana IND,"IND 90, CHA 81",Jalen Rose 23 Pts,David Wesley 20 Pts,20020125
1,Minnesota MIN,Toronto TOR,"TOR 107, MIN 100",Vince Carter 19 Pts,Chauncey Billups 17 Pts,20020125
2,Detroit DET,Atlanta ATL,"DET 107, ATL 90",Chucky Atkins 21 Pts,Nazr Mohammed 16 Pts,20020125
3,Philadelphia PHI,Boston BOS,"PHI 106, BOS 90",Allen Iverson 47 Pts,Paul Pierce 30 Pts,20020125
4,San Antonio SA,Los Angeles LAL,"LAL 94, SA 91",Kobe Bryant 27 Pts,Tim Duncan 24 Pts,20020125
0,New Jersey NJ,Miami MIA,"MIA 90, NJ 77",Alonzo Mourning 23 Pts,Kenyon Martin 19 Pts,20020126
1,New York NY,Milwaukee MIL,"NY 129, MIL 127",Latrell Sprewell 48 Pts,Glenn Robinson 38 Pts,20020126
2,Sacramento SAC,Utah UTAH,"SAC 114, UTAH 90",Peja Stojakovic 25 Pts,Karl Malone 17 Pts,20020126
3,Atlanta ATL,Minnesota MIN,"MIN 103, ATL 80",Kevin Garnett 20 Pts,Jason Terry 16 Pts,20020126
4,Memphis MEM,Chicago CHI,"CHI 95, MEM 92",Brad Miller 32 Pts,Pau Gasol 26 Pts,20020126
5,San Antonio SA,Golden State GS,"SA 90, GS 82",Tim Duncan 20 Pts,Bob Sura 19 Pts,20020126
6,Dallas DAL,LA LAC,"DAL 133, LAC 112",Dirk Nowitzki 28 Pts,Quentin Richardson 31 Pts,20020126
7,Houston HOU,Charlotte CHA,"HOU 104, CHA 102 (OT)",Steve Francis 30 Pts,Baron Davis 34 Pts,20020126
8,Boston BOS,Cleveland CLE,"BOS 108, CLE 101",Antoine Walker 31 Pts,Andre Miller 25 Pts,20020126
9,Seattle SEA,Indiana IND,"SEA 95, IND 86",Gary Payton 27 Pts,Jermaine O'Neal 19 Pts,20020126
10,Phoenix PHX,Washington WSH,"WSH 112, PHX 102",Michael Jordan 41 Pts,Stephon Marbury 25 Pts,20020126
0,Los Angeles LAL,Philadelphia PHI,"PHI 93, LAL 87",Allen Iverson 29 Pts,Shaquille O'Neal 26 Pts,20020127
1,Orlando ORL,Toronto TOR,"TOR 106, ORL 97",Vince Carter 32 Pts,Tracy McGrady 27 Pts,20020127
0,Miami MIA,Utah UTAH,"UTAH 101, MIA 89",Bryon Russell 20 Pts,Rod Strickland 16 Pts,20020128
1,LA LAC,Memphis MEM,"MEM 119, LAC 115",Pau Gasol 23 Pts,Michael Olowokandi 27 Pts,20020128
0,Minnesota MIN,Cleveland CLE,"CLE 114, MIN 81",Wesley Person 27 Pts,Kevin Garnett 14 Pts,20020129
