,matchup,home,result,winner high,loser high,DATE
7,Boston BOS,Minnesota MIN,"BOS 100, MIN 79",Kevin Garnett 24 Pts,Kevin Love 22 Pts,20120330
8,Dallas DAL,Orlando ORL,"DAL 100, ORL 98",Dirk Nowitzki 28 Pts,Jameer Nelson 24 Pts,20120330
9,Sacramento SAC,Utah UTAH,"SAC 104, UTAH 103",DeMarcus Cousins 27 Pts,Al Jefferson 27 Pts,20120330
10,New Jersey NJ,Golden State GS,"NJ 102, GS 100",Gerald Wallace 24 Pts,David Lee 27 Pts,20120330
11,Portland POR,LA LAC,"LAC 98, POR 97",Blake Griffin 20 Pts,JJ Hickson 29 Pts,20120330
0,New Orleans NO,Los Angeles LAL,"LAL 88, NO 85",Pau Gasol 21 Pts,Jarrett Jack 18 Pts,20120331
1,Charlotte CHA,Detroit DET,"DET 110, CHA 107 (OT)",Tayshaun Prince 24 Pts,Byron Mullens 20 Pts,20120331
2,Cleveland CLE,New York NY,"NY 91, CLE 75",JR Smith 20 Pts,Antawn Jamison 13 Pts,20120331
3,Atlanta ATL,Philadelphia PHI,"PHI 95, ATL 90",Elton Brand 25 Pts,Josh Smith 34 Pts,20120331
4,Memphis MEM,Milwaukee MIL,"MEM 99, MIL 95",O.J. Mayo 24 Pts,Brandon Jennings 24 Pts,20120331
5,Indiana IND,San Antonio SA,"SA 112, IND 103",Tim Duncan 23 Pts,Paul George 18 Pts,20120331
6,New Jersey NJ,Sacramento SAC,"NJ 111, SAC 99",Anthony Morrow 24 Pts,Tyreke Evans 23 Pts,20120331
7,Utah UTAH,LA LAC,"LAC 105, UTAH 96",Chris Paul 26 Pts,Al Jefferson 26 Pts,20120331
0,Chicago CHI,Oklahoma City OKC,"OKC 92, CHI 78",Russell Westbrook 27 Pts,John Lucas III 19 Pts,20120401
1,Miami MIA,Boston BOS,"BOS 91, MIA 72",Paul Pierce 23 Pts,LeBron James 23 Pts,20120401
2,Denver DEN,Orlando ORL,"DEN 104, ORL 101",Ty Lawson 25 Pts,Jameer Nelson 27 Pts,20120401
3,Washington WSH,Toronto TOR,"TOR 99, WSH 92",Andrea Bargnani 18 Pts,Jordan Crawford 18 Pts,20120401
4,Indiana IND,Houston HOU,"IND 104, HOU 102 (OT)",Danny Granger 32 Pts,Goran Dragic 22 Pts,20120401
5,New Orleans NO,Phoenix PHX,"PHX 92, NO 75",Jared Dudley 21 Pts,Marco Belinelli 14 Pts,20120401
6,Minnesota MIN,Portland POR,"POR 119, MIN 106",LaMarcus Aldridge 26 Pts,Kevin Love 26 Pts,20120401
7,Golden State GS,Los Angeles LAL,"LAL 120, GS 112",Kobe Bryant 40 Pts,David Lee 27 Pts,20120401
0,Milwaukee MIL,Washington WSH,"MIL 112, WSH 98",Brandon Jennings 19 Pts,Jordan Crawford 23 Pts,20120402
1,Houston HOU,Chicago CHI,"HOU 99, CHI 93",Goran Dragic 21 Pts,Luol Deng 24 Pts,20120402
2,Memphis MEM,Oklahoma City OKC,"MEM 94, OKC 88",O.J. Mayo 22 Pts,Kevin Durant 21 Pts,20120402
3,LA LAC,Dallas DAL,"LAC 94, DAL 75",Randy Foye 28 Pts,Dirk Nowitzki 19 Pts,20120402
4,Utah UTAH,Portland POR,"UTAH 102, POR 97",Paul Millsap 31 Pts,Wesley Matthews 33 Pts,20120402
5,Minnesota MIN,Sacramento SAC,"SAC 116, MIN 108",Tyreke Evans 24 Pts,Kevin Love 23 Pts,20120402
0,San Antonio SA,Cleveland CLE,"SA 125, CLE 90",Patty Mills 20 Pts,Antawn Jamison 15 Pts,20120403
1,New York NY,Indiana IND,"IND 112, NY 104",Danny Granger 27 Pts,Carmelo Anthony 39 Pts,20120403
2,Charlotte CHA,Toronto TOR,"TOR 92, CHA 87",Andrea Bargnani 30 Pts,Byron Mullens 20 Pts,20120403
3,Orlando ORL,Detroit DET,"DET 102, ORL 95",Greg Monroe 22 Pts,Glen Davis 31 Pts,20120403
4,Philadelphia PHI,Miami MIA,"MIA 99, PHI 93",LeBron James 41 Pts,Evan Turner 26 Pts,20120403
5,Golden State GS,Memphis MEM,"MEM 98, GS 94",O.J. Mayo 19 Pts,David Lee 22 Pts,20120403
6,Phoenix PHX,Sacramento SAC,"PHX 109, SAC 100",Marcin Gortat 20 Pts,DeMarcus Cousins 41 Pts,20120403
7,New Jersey NJ,Los Angeles LAL,"LAL 91, NJ 87",Kobe Bryant 24 Pts,Deron Williams 20 Pts,20120403
0,Toronto TOR,Philadelphia PHI,"TOR 99, PHI 78",Andrea Bargnani 24 Pts,Elton Brand 20 Pts,20120404
1,Indiana IND,Washington WSH,"IND 109, WSH 96",Danny Granger 20 Pts,Jordan Crawford 28 Pts,20120404
2,Charlotte CHA,Atlanta ATL,"ATL 120, CHA 93",Josh Smith 24 Pts,Kemba Walker 21 Pts,20120404
3,San Antonio SA,Boston BOS,"SA 87, BOS 86",Danny Green 14 Pts,Avery Bradley 19 Pts,20120404
4,Denver DEN,New Orleans NO,"NO 94, DEN 92",Trevor Ariza 15 Pts,Ty Lawson 22 Pts,20120404
5,Oklahoma City OKC,Miami MIA,"MIA 98, OKC 93",LeBron James 34 Pts,Kevin Durant 30 Pts,20120404
6,Cleveland CLE,Milwaukee MIL,"MIL 107, CLE 98",Monta Ellis 30 Pts,Anthony Parker 27 Pts,20120404
7,Golden State GS,Minnesota MIN,"GS 97, MIN 94",David Lee 31 Pts,Kevin Love 29 Pts,20120404
8,Memphis MEM,Dallas DAL,"DAL 95, MEM 85",Dirk Nowitzki 23 Pts,O.J. Mayo 17 Pts,20120404
9,Phoenix PHX,Utah UTAH,"PHX 107, UTAH 105",Michael Redd 19 Pts,Paul Millsap 25 Pts,20120404
10,New Jersey NJ,Portland POR,"POR 101, NJ 88",LaMarcus Aldridge 24 Pts,Kris Humphries 21 Pts,20120404
11,Los Angeles LAL,LA LAC,"LAL 113, LAC 108",Andrew Bynum 36 Pts,Caron Butler 28 Pts,20120404
0,New York NY,Orlando ORL,"NY 96, ORL 80",Carmelo Anthony 19 Pts,Jason Richardson 16 Pts,20120405
1,Washington WSH,Detroit DET,"DET 99, WSH 94",Greg Monroe 18 Pts,John Wall 28 Pts,20120405
2,Boston BOS,Chicago CHI,"CHI 93, BOS 86",Luol Deng 26 Pts,Paul Pierce 22 Pts,20120405
3,LA LAC,Sacramento SAC,"LAC 93, SAC 85",Randy Foye 20 Pts,Isaiah Thomas 17 Pts,20120405
0,Oklahoma City OKC,Indiana IND,"IND 103, OKC 98",Danny Granger 26 Pts,Kevin Durant 44 Pts,20120406
1,Detroit DET,Atlanta ATL,"ATL 101, DET 96",Jeff Teague 24 Pts,Rodney Stuckey 27 Pts,20120406
2,Memphis MEM,Miami MIA,"MEM 97, MIA 82",Rudy Gay 17 Pts,LeBron James 21 Pts,20120406
3,Washington WSH,New Jersey NJ,"NJ 110, WSH 98",Gerald Wallace 19 Pts,John Wall 18 Pts,20120406
4,Cleveland CLE,Toronto TOR,"CLE 84, TOR 80",Antawn Jamison 25 Pts,DeMar DeRozan 28 Pts,20120406
5,Portland POR,Dallas DAL,"POR 99, DAL 97 (OT)",Raymond Felton 30 Pts,Dirk Nowitzki 23 Pts,20120406
6,Charlotte CHA,Milwaukee MIL,"MIL 95, CHA 90",Monta Ellis 25 Pts,Byron Mullens 31 Pts,20120406
7,New Orleans NO,San Antonio SA,"SA 128, NO 103",Tim Duncan 19 Pts,Eric Gordon 31 Pts,20120406
8,Phoenix PHX,Denver DEN,"DEN 105, PHX 99",Arron Afflalo 30 Pts,Shannon Brown 18 Pts,20120406
9,Golden State GS,Utah UTAH,"UTAH 104, GS 98",Al Jefferson 30 Pts,David Lee 26 Pts,20120406
10,Houston HOU,Los Angeles LAL,"HOU 112, LAL 107",Goran Dragic 26 Pts,Kobe Bryant 28 Pts,20120406
0,Boston BOS,Indiana IND,"BOS 86, IND 72",Paul Pierce 24 Pts,Danny Granger 20 Pts,20120407
1,Minnesota MIN,New Orleans NO,"NO 99, MIN 90",Jason Smith 26 Pts,Kevin Love 29 Pts,20120407
2,Orlando ORL,Philadelphia PHI,"ORL 88, PHI 82",Glen Davis 23 Pts,Thaddeus Young 20 Pts,20120407
3,Dallas DAL,Memphis MEM,"MEM 94, DAL 89",Rudy Gay 25 Pts,Dirk Nowitzki 17 Pts,20120407
4,Atlanta ATL,Charlotte CHA,"ATL 116, CHA 96",Joe Johnson 18 Pts,Cory Higgins 22 Pts,20120407
5,Portland POR,Milwaukee MIL,"MIL 116, POR 94",Beno Udrih 21 Pts,LaMarcus Aldridge 21 Pts,20120407
6,Los Angeles LAL,Phoenix PHX,"PHX 125, LAL 105",Shannon Brown 24 Pts,Pau Gasol 30 Pts,20120407
7,Denver DEN,Golden State GS,"GS 112, DEN 97",Brandon Rush 20 Pts,Ty Lawson 23 Pts,20120407
8,Sacramento SAC,LA LAC,"LAC 109, SAC 94",Blake Griffin 27 Pts,DeMarcus Cousins 15 Pts,20120407
0,Chicago CHI,New York NY,"NY 100, CHI 99 (OT)",Carmelo Anthony 43 Pts,Derrick Rose 29 Pts,20120408
1,Philadelphia PHI,Boston BOS,"BOS 103, PHI 79",Kevin Garnett 20 Pts,Nikola Vucevic 14 Pts,20120408
2,Detroit DET,Miami MIA,"MIA 98, DET 75",LeBron James 26 Pts,Brandon Knight 16 Pts,20120408
3,Cleveland CLE,New Jersey NJ,"NJ 122, CLE 117 (OT)",Gerald Green 32 Pts,Antawn Jamison 34 Pts,20120408
4,Utah UTAH,San Antonio SA,"SA 114, UTAH 104",Tony Parker 28 Pts,Al Jefferson 19 Pts,20120408
5,Toronto TOR,Oklahoma City OKC,"OKC 91, TOR 75",Kevin Durant 23 Pts,Jose Calderon 19 Pts,20120408
6,Houston HOU,Sacramento SAC,"HOU 104, SAC 87",Courtney Lee 25 Pts,Terrence Williams 21 Pts,20120408
0,Toronto TOR,Indiana IND,"IND 103, TOR 98",George Hill 18 Pts,Linas Kleiza 18 Pts,20120409
1,Detroit DET,Orlando ORL,"ORL 119, DET 89",Jason Richardson 22 Pts,Tayshaun Prince 21 Pts,20120409
2,Washington WSH,Charlotte CHA,"WSH 113, CHA 85",Jordan Crawford 20 Pts,Corey Maggette 23 Pts,20120409
3,Los Angeles LAL,New Orleans NO,"LAL 93, NO 91",Pau Gasol 25 Pts,Carl Landry 20 Pts,20120409
4,Oklahoma City OKC,Milwaukee MIL,"OKC 109, MIL 89",Russell Westbrook 26 Pts,Ersan Ilyasova 18 Pts,20120409
5,LA LAC,Memphis MEM,"MEM 94, LAC 85",Marc Gasol 18 Pts,Chris Paul 21 Pts,20120409
6,Golden State GS,Denver DEN,"DEN 123, GS 84",Kenneth Faried 27 Pts,Klay Thompson 17 Pts,20120409
7,Phoenix PHX,Minnesota MIN,"PHX 114, MIN 90",Markieff Morris 21 Pts,Kevin Love 25 Pts,20120409
8,San Antonio SA,Utah UTAH,"UTAH 91, SA 84",Devin Harris 25 Pts,Tiago Splitter 14 Pts,20120409
9,Houston HOU,Portland POR,"HOU 94, POR 89",Goran Dragic 22 Pts,LaMarcus Aldridge 20 Pts,20120409
0,Charlotte CHA,Cleveland CLE,"CLE 103, CHA 90",Lester Hudson 25 Pts,Gerald Henderson 21 Pts,20120410
1,Boston BOS,Miami MIA,"BOS 115, MIA 107",Paul Pierce 27 Pts,LeBron James 36 Pts,20120410
2,Orlando ORL,Washington WSH,"WSH 93, ORL 85",Kevin Seraphin 24 Pts,Jameer Nelson 19 Pts,20120410
3,Philadelphia PHI,New Jersey NJ,"PHI 107, NJ 88",Lou Williams 20 Pts,Kris Humphries 20 Pts,20120410
4,Sacramento SAC,Dallas DAL,"DAL 110, SAC 100",Dirk Nowitzki 15 Pts,DeMarcus Cousins 25 Pts,20120410
5,New York NY,Chicago CHI,"CHI 98, NY 86",Richard Hamilton 20 Pts,Carmelo Anthony 29 Pts,20120410
0,Indiana IND,Cleveland CLE,"IND 104, CLE 98 (OT)",Danny Granger 23 Pts,Antawn Jamison 21 Pts,20120411
1,Philadelphia PHI,Toronto TOR,"PHI 93, TOR 75",Thaddeus Young 17 Pts,Ed Davis 13 Pts,20120411
2,Atlanta ATL,Boston BOS,"BOS 88, ATL 86 (OT)",Kevin Garnett 22 Pts,Jeff Teague 21 Pts,20120411
3,Sacramento SAC,New Orleans NO,"NO 105, SAC 96",Jason Smith 22 Pts,Marcus Thornton 25 Pts,20120411
4,Utah UTAH,Houston HOU,"UTAH 103, HOU 91",Gordon Hayward 29 Pts,Goran Dragic 19 Pts,20120411
5,New York NY,Milwaukee MIL,"NY 111, MIL 107",Carmelo Anthony 32 Pts,Monta Ellis 35 Pts,20120411
6,LA LAC,Oklahoma City OKC,"LAC 100, OKC 98",Chris Paul 31 Pts,Kevin Durant 22 Pts,20120411
7,Phoenix PHX,Memphis MEM,"MEM 104, PHX 93",Rudy Gay 32 Pts,Marcin Gortat 19 Pts,20120411
8,Los Angeles LAL,San Antonio SA,"LAL 98, SA 84",Metta World Peace 26 Pts,Danny Green 22 Pts,20120411
9,Minnesota MIN,Denver DEN,"DEN 113, MIN 107",Ty Lawson 24 Pts,Anthony Randolph 28 Pts,20120411
10,Golden State GS,Portland POR,"POR 118, GS 110",Jamal Crawford 34 Pts,David Lee 21 Pts,20120411
0,Detroit DET,Charlotte CHA,"DET 109, CHA 85",Greg Monroe 25 Pts,Derrick Brown 13 Pts,20120412
1,Miami MIA,Chicago CHI,"CHI 96, MIA 86 (OT)",Carlos Boozer 19 Pts,LeBron James 30 Pts,20120412
2,LA LAC,Minnesota MIN,"LAC 95, MIN 82",Blake Griffin 19 Pts,Nikola Pekovic 17 Pts,20120412
3,Memphis MEM,San Antonio SA,"SA 107, MEM 97",Tim Duncan 28 Pts,Rudy Gay 19 Pts,20120412
4,Dallas DAL,Golden State GS,"DAL 112, GS 103",Dirk Nowitzki 27 Pts,David Lee 30 Pts,20120412
0,Cleveland CLE,Indiana IND,"IND 102, CLE 83",Danny Granger 18 Pts,Omri Casspi 14 Pts,20120413
1,Atlanta ATL,Orlando ORL,"ATL 109, ORL 81",Jannero Pargo 17 Pts,Glen Davis 16 Pts,20120413
2,New Jersey NJ,Philadelphia PHI,"NJ 95, PHI 89",Gerald Green 23 Pts,Jrue Holiday 19 Pts,20120413
3,Boston BOS,Toronto TOR,"TOR 84, BOS 79",DeMar DeRozan 22 Pts,Paul Pierce 18 Pts,20120413
4,Charlotte CHA,Miami MIA,"MIA 105, CHA 82",LeBron James 19 Pts,Derrick Brown 21 Pts,20120413
5,Washington WSH,New York NY,"NY 103, WSH 65",JR Smith 23 Pts,Jordan Crawford 17 Pts,20120413
6,Utah UTAH,New Orleans NO,"NO 96, UTAH 85",Eric Gordon 25 Pts,Paul Millsap 27 Pts,20120413
7,Milwaukee MIL,Detroit DET,"MIL 113, DET 97",Drew Gooden 26 Pts,Brandon Knight 25 Pts,20120413
8,Phoenix PHX,Houston HOU,"PHX 112, HOU 105",Marcin Gortat 20 Pts,Goran Dragic 22 Pts,20120413
9,Sacramento SAC,Oklahoma City OKC,"OKC 115, SAC 89",Kevin Durant 29 Pts,Isaiah Thomas 21 Pts,20120413
10,Denver DEN,Los Angeles LAL,"LAL 103, DEN 97",Andrew Bynum 30 Pts,Andre Miller 20 Pts,20120413
11,Dallas DAL,Portland POR,"DAL 97, POR 94",Dirk Nowitzki 24 Pts,Nicolas Batum 20 Pts,20120413
0,Golden State GS,LA LAC,"LAC 112, GS 104",Chris Paul 28 Pts,Nate Robinson 28 Pts,20120414
1,Cleveland CLE,Washington WSH,"CLE 98, WSH 89",Luke Harangody 16 Pts,John Wall 19 Pts,20120414
2,Boston BOS,New Jersey NJ,"BOS 94, NJ 82",Kevin Garnett 21 Pts,Gerald Green 15 Pts,20120414
3,Oklahoma City OKC,Minnesota MIN,"OKC 115, MIN 110",Kevin Durant 43 Pts,Michael Beasley 26 Pts,20120414
4,Utah UTAH,Memphis MEM,"MEM 103, UTAH 98",Rudy Gay 26 Pts,Al Jefferson 20 Pts,20120414
5,Indiana IND,Milwaukee MIL,"IND 105, MIL 99",Roy Hibbert 23 Pts,Monta Ellis 20 Pts,20120414
6,Phoenix PHX,San Antonio SA,"SA 105, PHX 91",Tim Duncan 19 Pts,Sebastian Telfair 21 Pts,20120414
0,Miami MIA,New York NY,"MIA 93, NY 85",LeBron James 29 Pts,Carmelo Anthony 42 Pts,20120415
1,Dallas DAL,Los Angeles LAL,"LAL 112, DAL 108 (OT)",Andrew Bynum 23 Pts,Dirk Nowitzki 24 Pts,20120415
2,Toronto TOR,Atlanta ATL,"TOR 102, ATL 86",DeMar DeRozan 23 Pts,Josh Smith 26 Pts,20120415
3,Orlando ORL,Cleveland CLE,"ORL 100, CLE 84",Jameer Nelson 21 Pts,Antawn Jamison 21 Pts,20120415
4,Chicago CHI,Detroit DET,"CHI 100, DET 94 (OT)",Derrick Rose 24 Pts,Rodney Stuckey 32 Pts,20120415
5,Portland POR,Sacramento SAC,"SAC 104, POR 103",DeMarcus Cousins 23 Pts,Wesley Matthews 31 Pts,20120415
6,Boston BOS,Charlotte CHA,"BOS 94, CHA 82",Brandon Bass 22 Pts,Gerald Henderson 22 Pts,20120415
7,Memphis MEM,New Orleans NO,"NO 88, MEM 75",Eric Gordon 18 Pts,Rudy Gay 24 Pts,20120415
8,Houston HOU,Denver DEN,"DEN 101, HOU 86",Arron Afflalo 20 Pts,Chase Budinger 19 Pts,20120415
0,Minnesota MIN,Indiana IND,"IND 111, MIN 88",David West 22 Pts,J.J. Barea 14 Pts,20120416
1,Philadelphia PHI,Orlando ORL,"ORL 113, PHI 100",Ryan Anderson 26 Pts,Jrue Holiday 18 Pts,20120416
2,Atlanta ATL,Toronto TOR,"ATL 109, TOR 87",Ivan Johnson 21 Pts,DeMar DeRozan 22 Pts,20120416
3,New Orleans NO,Charlotte CHA,"NO 75, CHA 67",Greivis Vasquez 20 Pts,Gerald Henderson 27 Pts,20120416
4,Miami MIA,New Jersey NJ,"MIA 101, NJ 98",LeBron James 37 Pts,Kris Humphries 29 Pts,20120416
5,Washington WSH,Chicago CHI,"WSH 87, CHI 84",Kevin Seraphin 21 Pts,Richard Hamilton 22 Pts,20120416
6,Denver DEN,Houston HOU,"DEN 105, HOU 102",Arron Afflalo 26 Pts,Goran Dragic 21 Pts,20120416
7,Dallas DAL,Utah UTAH,"UTAH 123, DAL 121 (3OT)",Al Jefferson 28 Pts,Dirk Nowitzki 40 Pts,20120416
8,Portland POR,Phoenix PHX,"PHX 125, POR 107",Marcin Gortat 20 Pts,JJ Hickson 22 Pts,20120416
9,San Antonio SA,Golden State GS,"SA 120, GS 99",Gary Neal 17 Pts,Nate Robinson 30 Pts,20120416
10,Oklahoma City OKC,LA LAC,"LAC 92, OKC 77",Nick Young 19 Pts,Kevin Durant 24 Pts,20120416
0,Indiana IND,Philadelphia PHI,"IND 102, PHI 97",Danny Granger 24 Pts,Andre Iguodala 23 Pts,20120417
1,Cleveland CLE,Detroit DET,"DET 116, CLE 77",Brandon Knight 28 Pts,Manny Harris 18 Pts,20120417
2,Memphis MEM,Minnesota MIN,"MEM 91, MIN 84",Rudy Gay 28 Pts,J.J. Barea 28 Pts,20120417
3,Boston BOS,New York NY,"NY 118, BOS 110",Carmelo Anthony 35 Pts,Paul Pierce 43 Pts,20120417
4,San Antonio SA,Los Angeles LAL,"SA 112, LAL 91",Tony Parker 29 Pts,Andrew Bynum 21 Pts,20120417
0,Philadelphia PHI,Cleveland CLE,"PHI 103, CLE 87",Jrue Holiday 24 Pts,Samardo Samuels 15 Pts,20120418
1,Milwaukee MIL,Washington WSH,"WSH 121, MIL 112",Jordan Crawford 32 Pts,Monta Ellis 31 Pts,20120418
2,Chicago CHI,Charlotte CHA,"CHI 100, CHA 68",Richard Hamilton 22 Pts,Kemba Walker 16 Pts,20120418
3,Detroit DET,Atlanta ATL,"ATL 116, DET 84",Tracy McGrady 17 Pts,Greg Monroe 17 Pts,20120418
4,Toronto TOR,Miami MIA,"MIA 96, TOR 72",LeBron James 28 Pts,James Johnson 18 Pts,20120418
5,New York NY,New Jersey NJ,"NY 104, NJ 95",Carmelo Anthony 33 Pts,Gerald Wallace 21 Pts,20120418
6,Orlando ORL,Boston BOS,"BOS 102, ORL 98",Paul Pierce 29 Pts,Glen Davis 27 Pts,20120418
7,New Orleans NO,Memphis MEM,"MEM 103, NO 91",Rudy Gay 26 Pts,Jerome Dyson 24 Pts,20120418
8,Houston HOU,Dallas DAL,"DAL 117, HOU 110",Dirk Nowitzki 35 Pts,Goran Dragic 20 Pts,20120418
9,LA LAC,Denver DEN,"LAC 104, DEN 98",Chris Paul 21 Pts,Ty Lawson 24 Pts,20120418
10,Oklahoma City OKC,Phoenix PHX,"OKC 109, PHX 97",James Harden 40 Pts,Jared Dudley 21 Pts,20120418
11,Utah UTAH,Portland POR,"UTAH 112, POR 91",Devin Harris 27 Pts,Wesley Matthews 21 Pts,20120418
12,San Antonio SA,Sacramento SAC,"SA 127, SAC 102",Tiago Splitter 17 Pts,Isaiah Thomas 21 Pts,20120418
13,Los Angeles LAL,Golden State GS,"LAL 99, GS 87",Andrew Bynum 31 Pts,Klay Thompson 17 Pts,20120418
0,Milwaukee MIL,Indiana IND,"IND 118, MIL 109",Danny Granger 29 Pts,Brandon Jennings 27 Pts,20120419
1,Minnesota MIN,Detroit DET,"MIN 91, DET 80",Nikola Pekovic 23 Pts,Tayshaun Prince 18 Pts,20120419
2,Houston HOU,New Orleans NO,"NO 105, HOU 99 (OT)",Eric Gordon 27 Pts,Goran Dragic 23 Pts,20120419
3,Chicago CHI,Miami MIA,"MIA 83, CHI 72",LeBron James 27 Pts,John Lucas III 16 Pts,20120419
4,LA LAC,Phoenix PHX,"PHX 93, LAC 90",Jared Dudley 18 Pts,Chris Paul 19 Pts,20120419
0,Boston BOS,Atlanta ATL,"ATL 97, BOS 92",Joe Johnson 30 Pts,Avery Bradley 28 Pts,20120420
1,Memphis MEM,Charlotte CHA,"MEM 85, CHA 80",Mike Conley 20 Pts,Gerald Henderson 32 Pts,20120420
2,New York NY,Cleveland CLE,"CLE 98, NY 90",Kyrie Irving 21 Pts,Amar'e Stoudemire 15 Pts,20120420
3,Golden State GS,Dallas DAL,"DAL 104, GS 94",Vince Carter 19 Pts,Klay Thompson 26 Pts,20120420
4,Los Angeles LAL,San Antonio SA,"SA 121, LAL 97",Tim Duncan 21 Pts,Kobe Bryant 18 Pts,20120420
5,Oklahoma City OKC,Sacramento SAC,"OKC 103, SAC 92",Kevin Durant 29 Pts,DeMarcus Cousins 18 Pts,20120420
0,Denver DEN,Phoenix PHX,"DEN 118, PHX 107",Ty Lawson 29 Pts,Shannon Brown 28 Pts,20120421
1,Philadelphia PHI,Indiana IND,"PHI 109, IND 106 (OT)",Elton Brand 20 Pts,David West 32 Pts,20120421
2,Washington WSH,Miami MIA,"WSH 86, MIA 84",Cartier Martin 22 Pts,Mike Miller 16 Pts,20120421
3,Dallas DAL,Chicago CHI,"CHI 93, DAL 83",Luol Deng 22 Pts,Dirk Nowitzki 17 Pts,20120421
4,Golden State GS,Houston HOU,"HOU 99, GS 96",Courtney Lee 20 Pts,Klay Thompson 24 Pts,20120421
5,Portland POR,Memphis MEM,"MEM 93, POR 89",Rudy Gay 21 Pts,JJ Hickson 23 Pts,20120421
6,New Jersey NJ,Milwaukee MIL,"MIL 106, NJ 95",Brandon Jennings 30 Pts,Gerald Wallace 18 Pts,20120421
7,Orlando ORL,Utah UTAH,"UTAH 117, ORL 107 (OT)",Al Jefferson 21 Pts,Jameer Nelson 23 Pts,20120421
0,New York NY,Atlanta ATL,"NY 113, ATL 112",Carmelo Anthony 39 Pts,Marvin Williams 29 Pts,20120422
1,Oklahoma City OKC,Los Angeles LAL,"LAL 114, OKC 106 (2OT)",Kobe Bryant 26 Pts,Kevin Durant 35 Pts,20120422
2,Toronto TOR,Detroit DET,"DET 76, TOR 73",Brandon Knight 19 Pts,DeMar DeRozan 16 Pts,20120422
3,Houston HOU,Miami MIA,"MIA 97, HOU 88",LeBron James 32 Pts,Chandler Parsons 23 Pts,20120422
4,Sacramento SAC,Charlotte CHA,"SAC 114, CHA 88",DeMarcus Cousins 29 Pts,Byron Mullens 13 Pts,20120422
5,Golden State GS,Minnesota MIN,"GS 93, MIN 88",Charles Jenkins 24 Pts,Nikola Pekovic 19 Pts,20120422
6,Cleveland CLE,San Antonio SA,"SA 114, CLE 98",Manu Ginobili 20 Pts,Antawn Jamison 21 Pts,20120422
7,Orlando ORL,Denver DEN,"DEN 101, ORL 74",JaVale McGee 17 Pts,Ryan Anderson 24 Pts,20120422
8,New Orleans NO,LA LAC,"LAC 107, NO 98",Chris Paul 33 Pts,Eric Gordon 17 Pts,20120422
0,Detroit DET,Indiana IND,"IND 103, DET 97",Paul George 27 Pts,Greg Monroe 18 Pts,20120423
1,Charlotte CHA,Washington WSH,"WSH 101, CHA 73",Nene 18 Pts,Gerald Henderson 19 Pts,20120423
2,Philadelphia PHI,New Jersey NJ,"PHI 105, NJ 87",Elton Brand 15 Pts,MarShon Brooks 18 Pts,20120423
3,Toronto TOR,Milwaukee MIL,"MIL 92, TOR 86",Brandon Jennings 25 Pts,James Johnson 22 Pts,20120423
4,Cleveland CLE,Memphis MEM,"MEM 109, CLE 101",Marreese Speights 17 Pts,Kyrie Irving 25 Pts,20120423
5,Portland POR,San Antonio SA,"SA 124, POR 89",Tim Duncan 18 Pts,Wesley Matthews 24 Pts,20120423
0,LA LAC,Atlanta ATL,"ATL 109, LAC 102",Joe Johnson 28 Pts,Blake Griffin 36 Pts,20120424
1,Miami MIA,Boston BOS,"BOS 78, MIA 66",Sasha Pavlovic 16 Pts,Dexter Pittman 12 Pts,20120424
2,Sacramento SAC,Oklahoma City OKC,"OKC 118, SAC 110",Kevin Durant 32 Pts,DeMarcus Cousins 32 Pts,20120424
3,New Orleans NO,Golden State GS,"NO 83, GS 81",Marco Belinelli 23 Pts,Klay Thompson 16 Pts,20120424
4,Phoenix PHX,Utah UTAH,"UTAH 100, PHX 88",Paul Millsap 26 Pts,Jared Dudley 15 Pts,20120424
0,Washington WSH,Cleveland CLE,"WSH 96, CLE 85",John Wall 21 Pts,D.J. Kennedy 12 Pts,20120425
1,Chicago CHI,Indiana IND,"CHI 92, IND 87",Kyle Korver 20 Pts,Lance Stephenson 22 Pts,20120425
2,Charlotte CHA,Orlando ORL,"ORL 102, CHA 95",JJ Redick 31 Pts,D.J. Augustin 23 Pts,20120425
3,Philadelphia PHI,Milwaukee MIL,"PHI 90, MIL 85",Evan Turner 29 Pts,Brandon Jennings 19 Pts,20120425
4,LA LAC,New York NY,"NY 99, LAC 93",JR Smith 21 Pts,Blake Griffin 29 Pts,20120425
5,Denver DEN,Oklahoma City OKC,"DEN 106, OKC 101",Ty Lawson 25 Pts,Kevin Durant 32 Pts,20120425
6,San Antonio SA,Phoenix PHX,"SA 110, PHX 106",Patty Mills 27 Pts,Shannon Brown 21 Pts,20120425
0,Dallas DAL,Atlanta ATL,"ATL 106, DAL 89",Josh Smith 23 Pts,Dirk Nowitzki 22 Pts,20120426
1,Milwaukee MIL,Boston BOS,"BOS 87, MIL 74",Avery Bradley 14 Pts,Tobias Harris 16 Pts,20120426
2,Cleveland CLE,Chicago CHI,"CHI 107, CLE 75",John Lucas III 25 Pts,Tristan Thompson 13 Pts,20120426
3,Philadelphia PHI,Detroit DET,"DET 108, PHI 86",Ben Gordon 26 Pts,Spencer Hawes 16 Pts,20120426
4,New Orleans NO,Houston HOU,"HOU 84, NO 77",Chase Budinger 27 Pts,Jerome Dyson 15 Pts,20120426
5,Denver DEN,Minnesota MIN,"DEN 131, MIN 102",JaVale McGee 19 Pts,J.J. Barea 20 Pts,20120426
