Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,Age,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
LAC,15.233333333333334,13.733333333333336,1.5250000000000001,60.833333333333336,23.458333333333332,6.833333333333333,13.34083333333333,10.25,12.350000000000001,0.4955,17.875000000000004,46.12500000000001,24.5,1476.1666666666667,6.808333333333334,13.733333333333336,10.25,13.091666666666667,1.5250000000000001,1.2750000000000001,14.674999999999999,18.933333333333334,1.8583333333333336,0.46666666666666656,2.308333333333333,0.05725,-0.6083333333333334,-1.175,-1.7833333333333332,0.4000000000000001
LAL,20.4875,11.875,1.175,67.25,20.737500000000004,4.5,12.50875,8.049999999999999,10.275,0.49287500000000006,15.8,35.12499999999999,28.875,1379.75,4.375,11.875,8.049999999999999,14.787500000000001,1.9625000000000001,0.875,13.2375,16.750000000000004,1.5125000000000002,1.5625,3.0749999999999997,0.094875,-0.7125,0.5249999999999999,-0.16250000000000003,0.8625
MEM,16.48333333333333,13.483333333333334,2.058333333333333,70.91666666666667,23.799999999999997,5.666666666666667,15.370833333333332,9.549999999999999,10.766666666666666,0.51925,18.333333333333332,62.208333333333336,26.416666666666668,1625.25,5.691666666666666,13.483333333333334,9.549999999999999,15.108333333333334,1.958333333333333,2.0416666666666665,13.391666666666666,19.583333333333332,2.2083333333333335,1.8083333333333333,4.041666666666667,0.09941666666666667,-0.20833333333333315,0.14166666666666664,-0.06666666666666665,1.1916666666666667
MIA,13.030000000000001,14.389999999999997,1.7799999999999998,65.1,26.700000000000006,6.3,14.001000000000001,10.309999999999999,11.109999999999998,0.5094000000000001,17.5,53.69999999999999,25.6,1863.3,6.28,14.389999999999997,10.309999999999999,12.23,1.5099999999999998,1.56,12.84,19.07,2.1,2.21,4.320000000000001,0.1036,-0.48,-0.02,-0.51,1.0699999999999998
MIL,17.733333333333334,15.033333333333333,2.1750000000000003,66.58333333333333,25.24166666666667,5.333333333333333,15.144166666666669,10.174999999999999,11.083333333333334,0.5204166666666666,18.116666666666667,65.44166666666666,26.333333333333332,1495.1666666666667,5.308333333333334,14.433333333333335,9.874999999999998,16.458333333333336,1.6500000000000001,1.4666666666666666,13.724999999999996,19.158333333333335,2.325,1.0416666666666667,3.366666666666667,0.10358333333333332,0.19166666666666676,-0.2750000000000001,-0.09166666666666672,0.7750000000000002
MIN,15.93333333333333,14.35,2.2916666666666665,63.25,23.458333333333332,6.333333333333333,14.327500000000002,10.533333333333333,11.433333333333335,0.5260833333333333,16.64166666666667,68.95,29.666666666666668,1585.75,6.291666666666665,14.35,10.533333333333333,13.041666666666666,1.375,1.7999999999999998,13.6,18.191666666666666,2.583333333333334,2.2833333333333337,4.858333333333333,0.12591666666666665,-0.49166666666666686,0.6833333333333332,0.20833333333333334,1.4916666666666665
NJN,18.433333333333334,14.444444444444445,1.4444444444444444,71.88888888888889,25.233333333333334,5.333333333333333,13.034444444444444,9.944444444444445,11.566666666666666,0.5067777777777777,16.688888888888886,43.43333333333333,28.77777777777778,1738.5555555555557,5.199999999999999,14.177777777777777,9.711111111111112,15.744444444444444,1.844444444444444,1.3333333333333333,14.244444444444444,19.13333333333333,1.7000000000000002,2.8333333333333335,4.544444444444444,0.10722222222222222,-1.6333333333333335,0.7555555555555556,-0.8777777777777779,1.0
NOH,15.938461538461537,13.784615384615384,1.5076923076923074,65.84615384615384,24.230769230769234,6.153846153846154,13.859230769230768,9.807692307692307,11.146153846153847,0.4998461538461539,17.861538461538462,45.0846153846154,30.384615384615383,1513.4615384615386,5.700000000000001,13.86923076923077,9.684615384615382,15.507692307692308,1.8923076923076922,1.2307692307692308,13.715384615384616,19.553846153846152,1.676923076923077,1.6538461538461542,3.3307692307692305,0.0877692307692308,-1.0076923076923077,-0.13076923076923075,-1.1307692307692307,0.746153846153846
NYK,16.11176470588235,13.688235294117646,1.4058823529411764,65.94117647058823,23.682352941176475,5.588235294117647,13.676470588235292,9.776470588235295,12.676470588235293,0.5111764705882352,18.08823529411765,42.23529411764706,29.294117647058822,1035.0588235294117,5.652941176470587,14.117647058823527,9.952941176470588,15.852941176470589,1.8294117647058823,1.1647058823529413,15.858823529411763,19.77058823529412,0.9529411764705884,0.9588235294117645,1.8882352941176472,0.08741176470588236,-0.5470588235294118,-0.1294117647058823,-0.6941176470588236,0.41176470588235303
ORL,14.23076923076923,13.676923076923078,0.6923076923076923,66.46153846153847,20.13076923076923,6.769230769230769,12.133846153846152,10.13076923076923,11.80769230769231,0.4887692307692308,15.884615384615385,20.58461538461539,26.46153846153846,1143.4615384615386,6.823076923076922,13.615384615384617,10.146153846153844,11.292307692307691,1.369230769230769,1.3769230769230771,12.815384615384614,16.646153846153847,0.976923076923077,0.10000000000000002,1.0769230769230769,0.04407692307692308,-1.6230769230769229,-1.6923076923076923,-3.2923076923076926,-0.2538461538461539
