Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%_x,USG,VA,MP,TS%_y,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
NOH,13.645454545454545,14.172727272727274,1.7181818181818185,44.81818181818182,25.227272727272727,5.918181818181819,13.514545454545454,10.109090909090911,11.745454545454548,0.5088181818181818,18.63636363636364,51.49090909090909,1077.4545454545455,0.5040909090909091,0.1100909090909091,0.3023636363636364,6.454545454545456,14.436363636363637,10.509090909090911,13.018181818181818,1.5363636363636362,1.636363636363636,14.227272727272727,20.136363636363633,0.7363636363636362,1.0000000000000002,1.7363636363636354,0.06245454545454545,-1.1454545454545455,-0.3,-1.4454545454545453,0.30000000000000004
NYK,16.476923076923075,13.938461538461542,2.2000000000000006,45.53846153846154,23.71538461538461,4.884615384615385,13.40692307692308,9.346153846153845,12.361538461538462,0.5206923076923077,17.923076923076927,66.10769230769232,1133.5384615384614,0.5206923076923077,0.34746153846153854,0.286076923076923,4.884615384615385,13.938461538461542,9.346153846153845,15.369230769230768,2.023076923076923,1.2923076923076922,15.223076923076924,19.115384615384617,1.1615384615384619,1.623076923076923,2.8076923076923075,0.10107692307692306,-0.5384615384615383,0.5,-0.038461538461538596,0.7461538461538461
OKC,15.700000000000001,13.563636363636363,4.172727272727273,59.81818181818182,24.10909090909091,5.499999999999999,14.318181818181818,9.80909090909091,13.136363636363638,0.5414545454545455,16.245454545454546,125.1181818181818,1379.0,0.5382727272727273,0.2584545454545455,0.27945454545454546,5.472727272727273,13.509090909090908,9.772727272727273,11.718181818181819,1.5999999999999999,2.209090909090909,15.41818181818182,17.645454545454545,2.554545454545455,1.6272727272727272,4.181818181818182,0.11463636363636363,-0.1636363636363637,0.45454545454545464,0.26363636363636367,1.3363636363636362
ORL,14.666666666666666,15.5,3.0444444444444447,52.888888888888886,24.155555555555555,5.433333333333334,13.733333333333333,10.38888888888889,11.755555555555555,0.517888888888889,17.733333333333334,91.32222222222222,1319.7777777777778,0.517888888888889,0.3207777777777778,0.26622222222222225,5.433333333333334,15.5,10.38888888888889,12.122222222222224,1.5111111111111108,1.5333333333333334,14.288888888888888,19.099999999999998,1.577777777777778,1.5222222222222226,3.1,0.09200000000000001,-0.6888888888888887,0.14444444444444443,-0.5777777777777778,0.8333333333333331
PHI,17.055555555555554,15.66666666666667,4.311111111111111,58.111111111111114,27.099999999999998,5.111111111111112,16.07888888888889,10.355555555555558,8.522222222222222,0.5167777777777778,18.41111111111111,128.9,1608.3333333333333,0.5167777777777778,0.16688888888888886,0.20644444444444443,5.111111111111112,15.66666666666667,10.355555555555558,14.67777777777778,1.6777777777777778,1.7222222222222223,10.444444444444446,19.733333333333334,1.8666666666666667,2.7,4.555555555555555,0.13633333333333336,-0.011111111111111195,1.077777777777778,1.088888888888889,1.3444444444444446
PHO,13.19090909090909,14.063636363636363,2.463636363636364,54.27272727272727,19.963636363636365,5.818181818181818,13.87727272727273,9.97272727272727,10.136363636363637,0.514909090909091,18.145454545454545,73.91818181818182,1136.4545454545455,0.514909090909091,0.24227272727272728,0.2645454545454546,5.818181818181818,14.063636363636363,9.97272727272727,10.10909090909091,1.5545454545454547,1.6363636363636365,11.918181818181818,19.854545454545455,1.3,0.9818181818181817,2.272727272727273,0.08063636363636364,-0.8818181818181817,-0.13636363636363635,-0.990909090909091,0.49090909090909096
POR,16.615384615384617,16.138461538461538,2.707692307692308,50.53846153846154,23.04615384615385,5.207692307692308,13.47923076923077,10.56153846153846,12.553846153846154,0.5104615384615385,17.338461538461537,81.26923076923077,1154.1538461538462,0.5108461538461538,0.22253846153846152,0.2577692307692308,5.261538461538462,16.269230769230766,10.646153846153847,14.346153846153843,1.5923076923076924,1.5307692307692309,15.838461538461539,18.200000000000003,1.323076923076923,0.8923076923076925,2.2230769230769236,0.07561538461538461,-0.7923076923076924,-0.30000000000000004,-1.1076923076923078,0.5846153846153845
SAC,16.01,13.49,3.06,53.7,24.72,5.290000000000001,14.133999999999997,9.21,10.900000000000002,0.5029000000000001,18.16,91.85,1349.8,0.505,0.2254,0.25670000000000004,5.340000000000001,13.59,9.270000000000001,14.01,1.8000000000000003,1.27,13.280000000000001,19.759999999999998,1.5899999999999999,0.45,2.05,0.06020000000000001,-0.31000000000000016,-1.05,-1.34,0.32999999999999996
SAS,16.21666666666667,15.350000000000001,3.491666666666667,59.166666666666664,23.325,5.025,15.3675,10.258333333333331,10.491666666666667,0.5479166666666666,17.724999999999998,104.64166666666667,1192.1666666666667,0.56475,0.29508333333333336,0.24750000000000003,5.075,15.616666666666667,10.449999999999998,12.741666666666665,1.5916666666666666,1.2666666666666664,13.049999999999999,18.78333333333333,2.141666666666667,1.4249999999999998,3.5833333333333335,0.13316666666666668,0.575,0.5166666666666667,1.0916666666666666,1.0916666666666666
TOR,12.533333333333337,15.100000000000001,1.5833333333333333,48.166666666666664,23.233333333333334,5.116666666666667,13.027500000000002,10.158333333333333,12.391666666666666,0.5194166666666666,18.65833333333333,47.66666666666666,1086.1666666666667,0.5199166666666667,0.23725000000000004,0.2690833333333333,5.1000000000000005,15.033333333333333,10.116666666666665,11.575000000000001,1.3916666666666666,1.5166666666666666,14.216666666666667,20.816666666666666,0.6583333333333333,1.175,1.8333333333333333,0.0735,-0.9250000000000002,-0.30000000000000004,-1.2083333333333333,0.275
TOT,17.988235294117647,14.0,1.9352941176470588,52.1764705882353,23.56470588235294,4.817647058823531,13.123529411764705,9.382352941176471,12.51764705882353,0.5033529411764706,17.829411764705885,58.02941176470589,1281.8235294117646,0.5033529411764706,0.20205882352941176,0.292764705882353,4.9941176470588236,14.505882352941176,9.705882352941174,15.841176470588236,1.5176470588235296,1.8470588235294116,15.5,18.982352941176472,0.8352941176470589,1.0176470588235293,1.8647058823529412,0.06141176470588235,-1.335294117647059,-0.45882352941176463,-1.7764705882352942,0.2647058823529412
