,DATE,SEASON,HOME,AWAY,GAME_RESULT,Tm_x,AST_x,DRR_x,EWA_x,GP_x,MPG_x,ORR_x,PER_x,REBR_x,TO_x,TS%_x,USG_x,VA_x,Age_x,MP_x,OWS_x,DWS_x,WS_x,OBPM_x,DBPM_x,BPM_x,VORP_x,Tm_y,AST_y,DRR_y,EWA_y,GP_y,MPG_y,ORR_y,PER_y,REBR_y,TO_y,TS%_y,USG_y,VA_y,Age_y,MP_y,OWS_y,DWS_y,WS_y,OBPM_y,DBPM_y,BPM_y,VORP_y
177,20061114,2007,MIN,POR,12,MIN,15.369230769230773,13.246153846153845,3.1538461538461537,65.69230769230771,24.592307692307692,4.6923076923076925,12.686923076923074,9.046153846153846,12.530769230769234,0.5031538461538462,17.46923076923077,94.85384615384615,26.923076923076927,1316.5384615384614,0.9923076923076922,1.5923076923076922,2.5846153846153848,-1.5846153846153848,0.10000000000000002,-1.507692307692308,0.5846153846153845,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
178,20070325,2007,MIN,POR,1,MIN,15.369230769230773,13.246153846153845,3.1538461538461537,65.69230769230771,24.592307692307692,4.6923076923076925,12.686923076923074,9.046153846153846,12.530769230769234,0.5031538461538462,17.46923076923077,94.85384615384615,26.923076923076927,1316.5384615384614,0.9923076923076922,1.5923076923076922,2.5846153846153848,-1.5846153846153848,0.10000000000000002,-1.507692307692308,0.5846153846153845,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
179,20061210,2007,TOR,POR,-10,TOR,10.63,15.720000000000002,4.579999999999999,67.6,26.48,6.7,14.234000000000002,11.03,11.16,0.546,16.7,137.48999999999998,27.6,1658.4,3.03,0.39,3.4499999999999997,-0.67,-1.14,-1.83,0.8400000000000001,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
180,20061213,2007,MEM,POR,-6,MEM,15.858333333333333,13.783333333333335,3.583333333333333,67.0,24.05,5.0,13.714166666666666,9.483333333333334,11.616666666666667,0.5207499999999999,17.733333333333334,107.13333333333333,27.91666666666667,1596.583333333333,1.7916666666666667,2.5,4.275000000000001,-1.0083333333333335,0.5333333333333333,-0.4833333333333332,1.2666666666666664,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
181,20070127,2007,MEM,POR,-3,MEM,15.858333333333333,13.783333333333335,3.583333333333333,67.0,24.05,5.0,13.714166666666666,9.483333333333334,11.616666666666667,0.5207499999999999,17.733333333333334,107.13333333333333,27.91666666666667,1596.583333333333,1.7916666666666667,2.5,4.275000000000001,-1.0083333333333335,0.5333333333333333,-0.4833333333333332,1.2666666666666664,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
182,20070326,2007,CHI,POR,11,CHI,15.48,13.78,2.38,66.6,23.690000000000005,4.7,12.970999999999998,9.31,12.080000000000002,0.5229,18.880000000000006,71.96000000000002,25.3,1584.9,1.27,2.08,3.3600000000000003,-1.12,0.33,-0.79,0.8899999999999999,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
183,20070110,2007,DAL,POR,25,DAL,16.172727272727272,14.018181818181818,5.572727272727274,65.72727272727273,25.572727272727274,6.545454545454546,15.584545454545456,10.28181818181818,12.3,0.5307272727272727,17.736363636363638,166.8181818181818,28.181818181818183,1706.2727272727273,3.2909090909090897,2.0181818181818176,5.3090909090909095,0.5,0.30000000000000004,0.763636363636364,1.636363636363636,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
184,20070407,2007,DAL,POR,12,DAL,16.172727272727272,14.018181818181818,5.572727272727274,65.72727272727273,25.572727272727274,6.545454545454546,15.584545454545456,10.28181818181818,12.3,0.5307272727272727,17.736363636363638,166.8181818181818,28.181818181818183,1706.2727272727273,3.2909090909090897,2.0181818181818176,5.3090909090909095,0.5,0.30000000000000004,0.763636363636364,1.636363636363636,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
185,20061117,2007,BOS,POR,28,BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.75333333333333,5.266666666666667,12.997333333333335,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,25.33333333333333,1279.1333333333334,1.2666666666666668,1.1999999999999995,2.48,-1.6866666666666663,-0.3533333333333333,-2.0266666666666664,0.5466666666666666,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
186,20070323,2007,ATL,POR,-2,ATL,15.42222222222222,13.000000000000002,4.444444444444444,72.66666666666667,28.18888888888889,5.5555555555555545,14.374444444444444,9.155555555555557,11.31111111111111,0.5362222222222222,18.355555555555558,132.88888888888889,22.88888888888889,2086.8888888888887,2.588888888888889,0.7555555555555558,3.3777777777777778,-0.08888888888888886,-1.2777777777777777,-1.3555555555555554,0.5555555555555556,POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666664,0.5245833333333335,17.633333333333336,70.97500000000002,24.91666666666667,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333331,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
